"Rank","Player","Team","Position","Points","Games","Avg"
"376","Geno Smith","LAC","QB","0.0","2","0.0"
"376","Beau Brinkley","TEN","TE","0.0","3","0.0"
"376","Marcedes Lewis","GB","TE","0.0","1","0.0"
"376","T.J. Logan","ARI","RB","0.0","1","0.0"
"376","Detrez Newsome","LAC","RB","0.0","1","0.0"
"376","Tanner McEvoy","FA","WR","0.0","1","0.0"
"376","Darrell Daniels","SEA","TE","0.0","3","0.0"
"377","Chad Kelly","DEN","QB","-0.1","1","-0.1"
"378","Robert Turbin","IND","RB","-0.2","2","-0.1"
"378","Chase Daniel","CHI","QB","-0.2","1","-0.2"
"379","Nathan Peterman","BUF","QB","-0.3","2","-0.2"
"380","Teddy Bridgewater","NO","QB","-0.3","1","-0.3"
"380","Joshua Dobbs","PIT","QB","-0.3","1","-0.3"
"380","Brian Hoyer","NE","QB","-0.3","1","-0.3"
"381","Rod Streater","CLE","WR","-1.1","1","-1.1"
"382","Matt Cassel","DET","QB","-1.5","1","-1.5"
"383","DeShone Kizer","GB","QB","-1.8","1","-1.8"
"384","Kaelin Clay","FA","WR","-2.0","2","-1.0"
"384","J.J. Jones","FA","WR","-2.0","3","-0.7"
"384","Riley McCarron","FA","WR","-2.0","1","-2.0"
""
""
